cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3
1,169.55605971440164,142.54123046941402,-32.78872671709377,4.0,8.0,13.0,232.80159223496895,246.8281483287952,285.6833605366047,4.024581694866991,4.267067239554596,4.93878075448576
2,169.558720459466,142.5446578692323,-32.78798381139535,12.0,8.0,24.0,160.07700552898189,195.8380233483691,333.38364705271647,2.7673478520319645,3.3855701602387525,5.763404409803775
3,169.55676898385113,142.53844023811146,-32.790839781445165,4.0,11.0,17.0,237.16601079556526,305.0016790145244,323.25230960899347,4.100032033840554,5.272748190771051,5.5882578619254675
4,169.55471481107185,142.53939331439724,-32.789167585028196,1.0,3.0,13.0,232.80159223496895,237.16601079556526,331.0575524641537,4.024581694866991,4.100032033840554,5.723191808112416
5,169.5602785547263,142.54861318460692,-32.78633304873324,6.0,10.0,14.0,214.78169285891232,261.40364789933557,294.571155308014,3.713060813605041,4.5190427015863674,5.092429429313747
6,169.5618759949154,142.55033974223247,-32.78609368095247,5.0,19.0,16.0,214.78169285891232,303.5692934583461,327.42981851976157,3.713060813605041,5.2479856767605435,5.660476980922952
7,169.56702524725438,142.55578254325923,-32.7853986499007,16.0,40.0,19.0,412.99398300974616,476.43135494928424,597.5698358368844,7.139676357684148,8.236356511059766,10.330550575815817
8,169.5567327947917,142.54306936982076,-32.787932337155794,2.0,1.0,12.0,195.8380233483691,246.8281483287952,258.45304550954563,3.3855701602387525,4.267067239554596,4.46803385644585
9,169.56438971495277,142.542909187625,-32.792048574691364,28.0,18.0,13.0,194.1972527108734,224.55594566575292,232.04456260086857,3.35720516750075,3.882034223751263,4.011494466473823
10,169.56353415050413,142.5480655573993,-32.788382582283305,14.0,24.0,5.0,45.964256781769585,183.0763953273832,261.40364789933557,0.794611861053625,3.164952190933272,4.5190427015863674
11,169.56194696679844,142.5404271397183,-32.792315964186514,18.0,13.0,30.0,100.27020720432455,191.29172732194854,193.15306131966383,1.7334316169441928,3.3069755956925126,3.3391536004188627
12,169.56121632776743,142.54467425347678,-32.78928282094694,2.0,8.0,28.0,160.07700552898189,258.45304550954563,271.67212574767734,2.7673478520319645,4.46803385644585,4.696560078447229
13,169.5605791373645,142.54131659844717,-32.79104359421362,11.0,18.0,9.0,191.29172732194854,195.5134563196482,232.04456260086857,3.3069755956925126,3.3799591740336883,4.011494466473823
14,169.56437235329867,142.5482645500117,-32.78869809732789,10.0,24.0,5.0,45.964256781769585,180.60395550128865,294.571155308014,0.794611861053625,3.122209630754744,5.092429429313747
15,169.55604053083212,142.53324548653075,-32.79369885635933,20.0,27.0,33.0,132.26660543543994,367.30470946499867,459.9909250981567,2.2865726731816887,6.3498182978888815,7.952140873188137
16,169.56657416515887,142.55283787125578,-32.78699946832979,19.0,6.0,7.0,190.45922093307982,327.42981851976157,412.99398300974616,3.2925835550654057,5.660476980922952,7.139676357684148
17,169.5608432623971,142.53779127720492,-32.793381615556235,23.0,27.0,3.0,283.72757906107717,292.1891834035915,323.25230960899347,4.904969979181338,5.051250842723366,5.5882578619254675
18,169.56343085883037,142.54118016207792,-32.79262441656271,11.0,30.0,13.0,100.27020720432455,128.0552819995921,195.5134563196482,1.7334316169441928,2.2137689820713162,3.3799591740336883
19,169.56740291416378,142.55175964893235,-32.788106973248276,16.0,6.0,14.0,190.45922093307982,303.5692934583461,436.7830761846617,3.2925835550654057,5.2479856767605435,7.550932775692741
20,169.5583417945428,142.53406071034166,-32.794397163212906,15.0,27.0,17.0,132.26660543543994,243.65841867694226,476.409465347468,2.2865726731816887,4.212270209121708,8.235978092295822
21,169.56026854714798,142.52976224358554,-32.79808916589658,25.0,38.0,32.0,145.8972855591175,208.05441747878345,222.52851515981905,2.522214470936111,3.5967623420556305,3.8469848083951996
22,169.56716469667546,142.53662121318513,-32.797426588388156,29.0,23.0,27.0,105.92253811951399,269.75756685000505,321.0771669812913,1.831146874456874,4.663461942737145,5.550654857929088
23,169.5654020211904,142.53794031802656,-32.795679392240665,27.0,22.0,17.0,260.6843168847164,269.75756685000505,283.72757906107717,4.506607191991294,4.663461942737145,4.904969979181338
24,169.56414750241495,142.54697098583932,-32.78938727746319,14.0,10.0,12.0,180.60395550128865,183.0763953273832,283.2964646370667,3.122209630754744,3.164952190933272,4.897517043818618
25,169.562928068382,142.53042625541252,-32.799069487828454,21.0,38.0,32.0,145.8972855591175,185.19980155573796,251.00053137454051,2.522214470936111,3.201660796554739,4.339197744628339
26,169.56584494058146,142.53333864531913,-32.798782212864964,31.0,45.0,25.0,226.98213529229488,306.51218222995436,360.60698402400163,3.9239772288034005,5.298861171925928,6.234030673980042
27,169.5615803243319,142.53597235260662,-32.794902951231286,20.0,23.0,17.0,243.65841867694226,260.6843168847164,292.1891834035915,4.212270209121708,4.506607191991294,5.051250842723366
28,169.56502343306585,142.54437399407462,-32.79146704824457,9.0,12.0,39.0,194.1972527108734,271.67212574767734,346.4994536404963,3.35720516750075,4.696560078447229,5.990145277852983
29,169.56898809591127,142.53680925498026,-32.79826538881452,22.0,46.0,45.0,105.92253811951399,318.72377902774775,321.12912168033495,1.831146874456874,5.509970419357069,5.551553030182663
30,169.5654690932348,142.54122969971834,-32.793662474219325,18.0,11.0,9.0,128.0552819995921,193.15306131966383,287.0093189006446,2.2137689820713162,3.3391536004188627,4.961703397363067
31,169.56798022963505,142.53250227573665,-32.800423481345334,26.0,25.0,45.0,226.98213529229488,305.4062617408459,339.96156666693304,3.9239772288034005,5.279742456655493,5.87712087804409
32,169.5609076087594,142.5283995709721,-32.79927430173343,38.0,21.0,37.0,87.04210178436013,222.52851515981905,225.57154458106476,1.504749371174901,3.8469848083951996,3.899591495437641
33,169.5578321703277,142.53057327079932,-32.79630560588011,21.0,25.0,38.0,241.42526671295002,341.0476587082462,449.44013750932993,4.173664362701773,5.895896806964704,7.769743037379676
34,169.56469330522822,142.52112225402806,-32.80579811855373,48.0,47.0,60.0,213.02019354924212,226.34480229194008,281.4952614772369,3.6826087114129553,3.9129592683928305,4.866378557194905
35,169.56625286073088,142.5256829204062,-32.803771258725554,44.0,49.0,36.0,146.1595632762312,239.8004050174576,333.1125081325011,2.5267486241999855,4.145574397450293,5.7587170675713235
36,169.56039524306377,142.5249150705127,-32.80117920744649,35.0,42.0,37.0,333.1125081325011,370.08090228403785,437.0872830185837,5.7587170675713235,6.39781201946811,7.556191782916455
37,169.56447071117887,142.52846147437015,-32.801103891847546,38.0,32.0,25.0,196.97760008448142,225.57154458106476,348.50127597870136,3.405270711373407,3.899591495437641,6.0247519893508334
38,169.56228352469546,142.52902268097256,-32.79960705855979,32.0,25.0,37.0,87.04210178436013,185.19980155573796,196.97760008448142,1.504749371174901,3.201660796554739,3.405270711373407
39,169.57028876511419,142.54693351603052,-32.79263168540739,57.0,28.0,64.0,314.98355451286545,346.4994536404963,391.7069610706111,5.445310899751657,5.990145277852983,6.771674755925316
40,169.57552800200247,142.55711149803716,-32.78902958904496,7.0,16.0,19.0,476.43135494928424,582.9929348411447,669.1835958280566,8.236356511059766,10.078550886500418,11.568580886494152
41,169.56541895699186,142.51871193849166,-32.80768168659782,56.0,53.0,47.0,178.00459790309247,222.79616798330477,228.56318884441353,3.0772729664146006,3.8516118843685154,3.9513098562282116
