,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,4.61704551330039,187.9275892128776,0.0109127127636397,3.9406482689247286,3.0,2.0,8.0,1332.614112849447,1593.196255772138,1887.9080954905176,28.93941433762737,34.598287773165225,40.99833108471176,11.105117607078734,13.276635464767825,15.732567462420988,4252967.616897005,5424844.146195682,2763290.4732226566,6.479154084733039,6.102964521159231,1.2441456170244047,73.3912850405373,38.433898537341975,54.094720745646526,155.57512821365046,119.14806366982285,135.0295153312821,0,1332.6141128495483,1887.9080954904289,2819.991818653982,0,0,0,0,0,1
1,1,1,2,3.3224023068165534,187.92440909439583,0.0077400638159934,3.945908445801831,3.0,1.0,7.0,265.01027108161753,1593.196255772138,2094.430388165088,5.755035883688195,34.598287773165225,45.483225954155,2.2084189256801467,13.276635464767825,17.45358656804241,4252967.616897005,7608466.829536087,1186041.6648447765,6.479154084733039,6.276193809797556,,73.3912850405373,55.1158138877033,64.1647852605701,155.57512821365046,146.71723031055046,151.79224778295293,1,265.01027108169865,2094.4303881651495,2190.2946427495754,0,0,1,1,1,1
2,2,2,3,3.470490966487501,187.9250766945028,0.0084060891921941,3.9451335338582174,2.0,1.0,7.0,265.01027108161753,1332.614112849447,2163.058969529102,5.755035883688195,28.93941433762737,46.973583089312505,2.2084189256801467,11.105117607078734,18.025491412742525,5424844.146195682,7608466.829536087,1186041.6648447765,6.102964521159231,6.276193809797556,,38.433898537341975,55.1158138877033,64.1647852605701,119.14806366982285,146.71723031055046,151.79224778295293,1,265.01027108169865,2163.0589695290996,2271.841908828407,0,0,1,1,1,2
3,3,3,4,4.8402465696673245,187.91589249683184,-0.0007563381181784,3.953264046380768,6.0,5.0,2.0,1955.4277962648143,2878.4407813143453,2914.6540897880805,42.46460746421214,62.50901113351078,63.29542929339121,16.29523163554013,23.98700651095289,24.28878408156735,2575614.0697362586,1086731.5861271103,5424844.146195682,3.1959724046366262,5.190804145624027,6.102964521159231,,,38.433898537341975,102.35876675865984,81.1065418949484,119.14806366982285,0,1955.4277962650447,2914.654089788068,3010.821254975212,0,0,0,0,0,0
4,4,4,5,1.079750328698272,187.9168023544041,0.0001513565722836,3.9422028076011832,9.0,7.0,6.0,146.42927789873582,150.9113269937804,926.61844835172,3.179898444276675,3.2772318542956755,20.12270090131436,1.2202439824894658,1.2575943916148369,7.721820402931003,414449.1738724713,1186041.6648447765,2575614.0697362586,4.203915473144058,,3.1959724046366262,,64.1647852605701,,109.519578918114,151.79224778295293,102.35876675865984,2,146.42927789884297,926.6184483516041,1547.8159261999606,0,2,2,2,4,4
5,5,5,6,2.0481439688484127,187.9162510063489,-0.0003986852500109,3.94573298079782,5.0,7.0,9.0,926.61844835172,1014.3868292333988,1055.8766014795312,20.12270090131436,22.028703183285195,22.9297064806593,7.721820402931003,8.453223576944994,8.798971678996098,1086731.5861271103,1186041.6648447765,414449.1738724713,5.190804145624027,,4.203915473144058,,64.1647852605701,,81.1065418949484,151.79224778295293,109.519578918114,0,926.6184483516041,1055.8766014795299,1955.4277962650447,0,0,0,0,1,3
6,6,6,7,1.175001287801539,187.91733926155464,0.0006869935397181,3.941975507633482,5.0,9.0,6.0,150.9113269937804,207.0112608596673,1014.3868292333988,3.2772318542956755,4.4955134369415095,22.028703183285195,1.2575943916148369,1.7250938404972291,8.453223576944994,1086731.5861271103,414449.1738724713,2575614.0697362586,5.190804145624027,4.203915473144058,3.1959724046366262,,,,81.1065418949484,109.519578918114,102.35876675865984,2,150.91132699376752,1014.3868292332808,1411.5573666046848,0,1,2,2,2,5
7,7,7,8,2.8813455008266287,187.9208650211567,0.0042044328275957,3.937822320550511,7.0,9.0,5.0,1411.557366604774,1489.463001081247,1547.815926200056,30.653767733375897,32.345587903679856,33.612796063598644,11.76297805503979,12.412191675677064,12.89846605166714,1186041.6648447765,414449.1738724713,1086731.5861271103,,4.203915473144058,5.190804145624027,64.1647852605701,,,151.79224778295293,109.519578918114,81.1065418949484,0,1411.5573666046848,1547.8159261999606,1887.9080954904289,0,0,0,0,0,2
8,8,8,9,0.9622898962706752,187.9165974430939,-5.3069932849593954e-05,3.941676528610585,5.0,7.0,10.0,146.42927789873582,207.0112608596673,866.5312700759621,3.179898444276675,4.4955134369415095,18.81783122318759,1.2202439824894658,1.7250938404972291,7.221093917299687,1086731.5861271103,1186041.6648447765,1009573.1112530512,5.190804145624027,,4.57819759334045,,64.1647852605701,,81.1065418949484,151.79224778295293,105.64061179569003,2,146.42927789884297,866.5312700758759,1489.4630010810804,0,1,2,2,3,5
9,9,9,10,0.2328536546284527,187.91411017956287,-0.002534456761447,3.9394392095562063,9.0,5.0,7.0,866.5312700759621,999.4820566515116,1063.3766705410887,18.81783122318759,21.7050270453873,23.09258004176029,7.221093917299687,8.329017138762604,8.861472254509078,414449.1738724713,1086731.5861271103,1186041.6648447765,4.203915473144058,5.190804145624027,,,,64.1647852605701,109.519578918114,81.1065418949484,151.79224778295293,0,866.5312700758759,1063.3766705410676,1723.7528218652028,0,0,0,0,2,4
